ta;;;;;;
Id_Restaurante;Restaurante;Votaciones;Valoracion;new_rating;Dirección;Estado
141;Araldo Pizzeria Madrazo;321;4.7;4.25;;
142;Decadente;547;4.5;4.25;;
143;Beytna Restaurante;321;4.7;4.25;;
144;Quispe Madrid;550;4.5;4.25;;
145;La Encomienda;588;4.5;4.25;;
146;Bangalore Modern Indian Cuisine;596;4.5;4.25;;
147;Vega;937;4.4;4.25;;
148;Vega Alamo;304;4.7;4.25;;
149;Indian Aroma;889;4.4;4.25;;
150;Brew Wild Pizza Bar;406;4.6;4.25;;
151;Ronda 14 Madrid;1003;4.4;4.25;;
152;Piccola Napoli;508;4.5;4.24;;
153;Mawey Taco Bar - Gran Vía;376;4.6;4.24;;
154;Dantxari;789;4.4;4.24;;
155;Casa Toni;882;4.4;4.24;;
156;Juana La Loca;2220;4.3;4.24;;
157;Bambúbox;797;4.4;4.24;;
158;Taberna Malaspina;2111;4.3;4.24;;
159;Latasia;496;4.5;4.24;;
160;El Brasero De Don Pedro;868;4.4;4.24;;
161;Arrocería D`stapa Madrid;500;4.5;4.24;;
162;La Sifonería;486;4.5;4.24;;
163;Los Porfiados;529;4.5;4.24;;
164;BLoved;502;4.5;4.24;;
165;Bayres beef Argentina en tapas;832;4.4;4.24;;
166;El Cogollo de la Descarga;701;4.4;4.23;;
167;Bodega de los Secretos;1864;4.3;4.23;;
168;Restaurante El Flaco;478;4.5;4.23;;
169;Okashi Sanda;472;4.5;4.23;;
170;Paco Roncero Restaurante;717;4.4;4.23;;
171;El Jardín del InterContinental;338;4.6;4.23;;
172;Restaurante Marina Ventura;1842;4.3;4.23;;
173;Restaurante Ogrelo;718;4.4;4.23;;
174;El Ponientazo;336;4.6;4.23;;
175;Taberna Degusta;441;4.5;4.23;;
176;Emma Cocina;681;4.4;4.23;;
177;PICCOLO DIAVOLO;715;4.4;4.23;;
178;La Manduca de Azagra;684;4.4;4.23;;
179;Casa San Juan;333;4.6;4.23;;
180;Derzu Bar;473;4.5;4.23;;
181;Restaurante Sagar;713;4.4;4.23;;
182;Restaurante Rias Bajas;741;4.4;4.23;;
183;Sichuan Restaurant;346;4.6;4.23;;
184;Naomi;766;4.4;4.23;;
185;Restaurante Younique Arts Club;667;4.4;4.22;;
186;Restaurante La Primera;1312;4.3;4.22;;
187;La Musa Malasaña;1297;4.3;4.22;;
188;Gaytán;309;4.6;4.22;;
189;El Rincon De Esteban;1446;4.3;4.22;;
190;Fiaschetteria La Saletta;309;4.6;4.22;;
191;Ramen Kagura;1320;4.3;4.22;;
192;Estancia La Adriana;598;4.4;4.22;;
193;SUKALDEA ATOTXA Madrid;397;4.5;4.22;;
194;99 Sushi Bar;598;4.4;4.22;;
195;Taberna El Alambique;384;4.5;4.22;;
196;Alma Cheli;625;4.4;4.22;;
197;Ciudad de Tui;1467;4.3;4.22;;
198;Cilindro;391;4.5;4.22;;
199;Zalacain;617;4.4;4.22;;
200;Taberna La Fragua de Vulcano;390;4.5;4.22;;
201;Mesón del Champiñón;1087;4.3;4.21;;
202;Clos Madrid;372;4.5;4.21;;
203;Murillo Café - Restaurante;1222;4.3;4.21;;
204;The Irish Temple;344;4.5;4.21;;
205;Tras os montes;340;4.5;4.21;;
206;Flavia Restaurant & Bar;1070;4.3;4.21;;
207;Casa Macareno;529;4.4;4.21;;
208;Restaurante Lakasa;1183;4.3;4.21;;
209;Havana Blues;341;4.5;4.21;;
210;Nakeima Dumpling Bar;523;4.4;4.21;;
211;99 Sushi Bar - Padre Damian;545;4.4;4.21;;
212;Vinoteca Garcia de la Navarra;564;4.4;4.21;;
213;Restaurante El Landó;530;4.4;4.21;;
214;La Chamana;355;4.5;4.21;;
215;Asador Nuevo Porche;358;4.5;4.21;;
216;Arahy;552;4.4;4.21;;
217;La Piccola Trattoria;354;4.5;4.21;;
218;El Trébol 1983 Pizzas y Empanadas;510;4.4;4.21;;
219;Taberna & Media;380;4.5;4.21;;
220;Abaceria Tapas Lambuzo Conchas;476;4.4;4.2;;
221;A Vánvera;456;4.4;4.2;;
222;Mawey Taco Bar - Olid;319;4.5;4.2;;
223;Pajaritos Mojados;334;4.5;4.2;;
224;Chocolat Madrid;902;4.3;4.2;;
225;Bakan Madrid;310;4.5;4.2;;
226;La Sanabresa;1044;4.3;4.2;;
227;La Paloma;310;4.5;4.2;;
228;Il Pizzaiolo;970;4.3;4.2;;
229;Restaurante De María - Felíx Boix;891;4.3;4.2;;
230;El Mirador Del Goloso;465;4.4;4.2;;
231;izakaya Han;480;4.4;4.2;;
232;KABUKI WELLINGTON SL;997;4.3;4.2;;
233;Taberna Maldeamores;335;4.5;4.2;;
234;Doli Indian Restaurant;456;4.4;4.2;;
235;La Piperna;485;4.4;4.2;;
236;Triana;835;4.3;4.19;;
