web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,data4
1775469923-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Jhoon y Franco el servicio espectacular,Laura G,Muy bueno el servicio y buen ambiente.,1 contribución,Escrita el 17 de febrero de 2026,1.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1775469923-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Me encantó!,Niwdelys C,servicio espectacular y la comida divina!!! pidan las gambas al ajillo :),1 contribución,Escrita el 12 de febrero de 2026,1.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,
1775469923-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy rico,Didier  O,Excelente lugar ambientado muy bien y con rica comida española,1 contribución,Escrita el 11 de febrero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,
1775469923-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Ricas tapas en buen ambiente,Camper42518351284,"Todo muy rico y buenas porciones, pimientos del padrón, tabla de quesos, paella, ravioles, sangría. 
Muy simpático Gabo :)",1 contribución,Escrita el 8 de febrero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,
1775469923-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Fuimos tres amigas y gozamos la comida a pesar de que había mucho ruido. Es un lugar vivo. Ha sido una buena comida con,Maísa M,"Es un lugar bullicioso pero alegre. El trato fue muy amable,y profesional. La comida es deliciosa, con raciones nouy grandes pero que te permiten probar y compartir varios platos. La quiche es deliciosa. Los camareros son súper eficientes y con un sentido del humor fantástico. Repetiré!",3 contribuciones,Escrita el 7 de febrero de 2026,3.0,Estás un poco apretado en las mesas pero merece la pena,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,
1775469923-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Excelente en todo los sentidos,Marisol R,"Venimos a cenar a este lugar por recomendaciones y la verdad la mejor comida que hemos tenido en Madrid y la atención ,gracias a Gusneidea por las recomendaciones!",5 contribuciones,Escrita el 6 de febrero de 2026,5.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,
1775469884-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Comida bien,Anna B,Comida muy rica y Jhoan fue muy simpatico y divertido. Consejo este restaurante para una comida tipica madrilena :),mar 2026 • En familia,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,Escrita el 24 de marzo de 2026
1775469884-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,¡Qué bueno! Volveré con mis amigos,Ella G,"¡Excelente! Algunos de los mejores platos principales que he probado. Recomiendo encarecidamente la berenjena frita. Es imposible recrearla en casa. Además, los empleados son amables y simpáticos.",mar 2026 • Solo,1 contribución,1.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,Escrita el 24 de marzo de 2026
1775469884-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Almuerzo,Federico F,Buena relacion precio/calidad,mar 2026 • Solo,2 contribuciones,2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c2/36/82/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,Escrita el 23 de marzo de 2026
1775469884-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Un buen recuerdo,Bich Phuong M,"El servicio es excelente, el equipo es muy amable y dinámico. Los platos son de gran calidad y están deliciosos",mar 2026 • Solo,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,Escrita el 21 de marzo de 2026
1775469884-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Excellente,Adir Feijo,"Excellente experiencia, una comida deliciosa y generosa y el servicio de Jhoan perfecto.
Lo recomendamos🤩",mar 2026 • Parejas,1 contribución,1.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,Escrita el 20 de marzo de 2026
1775469884-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy recomendable,Javier J,"Trato muy bueno, cocina riquísima, comimos las empanadas argentinas, huevos rotos con boletus y pulpo a la plancha. Vermut de categoría.",mar 2026 • Parejas,1 contribución,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ae/b9/95/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,Escrita el 14 de marzo de 2026
1775469884-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Lo mejor de Antón Martín en Madrid,Ana karina B,"El lugar magnífico y la atención espectacular!! Volveré sin duda! La comida estuvo deliciosa,  y las recomendaciones de Jhoan fueron las mejores. La paella  mariscos estaba divina y las croquetas de las mejores que he probado en Madrid!!",mar 2026 • Parejas,2 contribuciones,2.0,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ac/6f/5a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,Escrita el 13 de marzo de 2026
1775469884-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Excelente servicios,Ricardo G,"Recomendado el lomo bajo y paella excelente,  buen ambiente y  muy buena atención. 👌 Los recomiendo .",mar 2026 • En familia,4 contribuciones,4.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/a7/ce/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,Escrita el 11 de marzo de 2026
1775469884-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Execelente,Valkiria P,Excelente el lomo bajo y la atención de los camarero genial volveré.,mar 2026 • En familia,2 contribuciones,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,Escrita el 11 de marzo de 2026
1775469884-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,"Excelente, Gabriel y la comida",Resort19104334907,"Excelente. Nos atendió Gabriel. Muy amable, nos ayudó, recomendó y nos trajo una torta con velas para festejar un cumpleaños con música y todo. La comida riquísima y la atención excelente también. Muy recomendable.",mar 2026 • En familia,1 contribución,1.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,Escrita el 10 de marzo de 2026
1775469884-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy rico,Silvia G,"Muy rico todo, ambiente agradable y servicio excelente. Franco nuestro camarero muy amable. ¡Volveré!",mar 2026 • Amigos,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,Escrita el 9 de marzo de 2026
1775469884-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Excelente comida,Carlos Alberto b,Muy rica la comida y el lugar es pequeño y delicioso muy buena la atención por parte del camarero Gusneider se lo recomiendos,mar 2026 • Amigos,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,Escrita el 8 de marzo de 2026
1775469884-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy recomendable,ruth f,"Excelente atención de Jhoan y Gusneider! Comida muy rica, servicio muy rápido. Lo recomiendo!!",mar 2026 • En familia,2 contribuciones,2.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,Escrita el 7 de marzo de 2026
1775469884-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Excelente,Laura M,"Servicio muy rápido, comida excelente con buenos precios y camareros muy atentos.",mar 2026 • En familia,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,Escrita el 7 de marzo de 2026
1775469884-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,"Buen ambiente, comida y servicio.",~AN~,"Restaurante muy típico español, pequeñito, pero siempre lleno de gente. Buen servicio de camareros, atentos y amables (en nuestro caso, nos atendieron Johan y Gusneider y otra chica), la comida sale rápido y tienen buena variedad de vinos. La comida nos gustó mucho, excepto el solomillo de cerdo con moscatel que estaba frío y parecía demasiado hecho. Los huevos con jamón espectaculares 😍. 
Recomiendo venir si estáis por Madrid.",mar 2026 • Parejas,2 contribuciones,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,Escrita el 6 de marzo de 2026
