web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,data4
1775469967-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Una visita obligada para cualquiera que visite Madrid,Climber25655662756,"Más allá del encanto rústico y la música que le da un toque acogedor al lugar, el personal está encantado de recibir y atender a sus clientes, y el servicio es muy rápido y de excelente calidad.

Para cualquiera que quiera experimentar un poco del alma española en el ambiente, es una visita obligada.

Muchas gracias.",1 contribución,Escrita el 10 de enero de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775469967-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Increíble!,Ellis K,Todo estaba riquísimo! Los camareros son muy majos y simpáticos. Recomiendo las croquetas y la paella y las ensaladas y el pulpo!,2 contribuciones,Escrita el 7 de enero de 2026,2.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/01/d6/b2/ellis-k.jpg?w=100&h=-1&s=1,,,,
1775469967-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Delicioso,Marie Q,Excelente servicio y la comida deliciosa!  Definitivamente recomendado! Ordenamos secreto de ternera y lomo bajo y estaba todo en su punto!,1 contribución,Escrita el 6 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1775469967-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Nuestra experiencia,Sara Itzel L,"Yo y mi novio vinimos a probar las tapas. Tienen un excelente jamón ibérico, queso y sangría. El servicio al cliente excelente. Y un buen ambiente, perfecto para platicar tranquilo.",1 contribución,Escrita el 5 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,
1775469967-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Experiencia espnañola,Laura B,"Buena paella de marisco, perfecto atendimento de Jhoan, típica experiencia española. Recomendo muchísimo pasar aquí.",1 contribución,Escrita el 5 de enero de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/22/47/c9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,
1775469967-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy recomendable,Manu,"Comida muy rica, a destacar las croquetas, la berenjena y los huevos rotos. La atención fue buena y el local es acogedor. Muy buena relación calidad-precio. Sitio al que hay que ir si estás en el centro de Madrid y quieres comer bien.

Recomendable.",56 contribuciones,Escrita el 3 de enero de 2026,56.0,,,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1e/90/51/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/98/87/12/caption.jpg?w=100&h=-1&s=1,,,,
1775469967-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Almuerzo,Arnaldo Junio R,"Ambiente acogedor y con mucho estilo. Los platos estaban muy sabrosos, en su punto. La música ambiental excelente y el trato, maravilloso. ¡Lo recomiendo!",4 contribuciones,Escrita el 3 de enero de 2026,4.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,4 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1e/7f/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775469967-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Calidad,Omeris M,"Es mi tercera vez en este lugar y no dejaría de venir. La comida es 20/10 en cuanto calidad- precio como me gusta y adicional el mesero Johan es super amable, y profesional.",1 contribución,Escrita el 23 de diciembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,
1775469967-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Comida impresionante,Naia D,"Es un restaurante pequeño pero muy acogedor. Se come increíblemente bien, los camareros son todos majisimos y además tardan muy poco en traerte la comida.",1 contribución,Escrita el 22 de diciembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1775469967-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Pregunten por Franco,Ximena Z,La comida está súper rica ! El ambiente increíble y Franco nos ha hecho sentir súper bien atendidas . El local 100% recomendable,12 contribuciones,Escrita el 20 de diciembre de 2025,12.0,,,,,,,"Bogotá, Colombia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/11/e0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
