web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,image,data15,data16,data17,data18,data19,image2,name
1775584434-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Genial,Cesar N,"Genial para tomar cocteles con amigos o en pareja y  muy buena atención de la camarera barbara, recomiendo este lugar al 100%",,3 contribuciones,Escrita el 24 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Atención de 10,Icíar F,"Fuimos un grupo grande de amigos a última hora esperando poder picar algo, ya que no encontrábamos nada con cocina abierta a esas horas. En esta azotea nos recibieron con una sonrisa y nos dieron opciones para que pudiéramos cenar algo. Picamos papas arrugas, humus y nachos con guacamole, todo riquísimo. Pero recomendaría el lugar sobre todo por la atención, tanto de Laura como de sus compañeras, ya que te hacen sentir como en casa.",,1 contribución,Escrita el 24 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Lugar destacable!,Mirtha R,"Mi pareja me recomendó este sitio y fuimos a probarlo, la verdad que una experiencia genial. El lugar está lleno de plantas y tienen platos asequibles para todo el mundo, opciones vegetarianas y gran variedad. Especialmente destacable el servicio, muy cordial y amable. Gracias a Laura por su simpatía. Volveré!",,1 contribución,Escrita el 24 de octubre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Madrid, España",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Laura y el provolone,Maria M,"La comida estaba riquísima, en especial el provolone de entrante. Además, Laura nos atendió y a parte de ser preciosa y muy simpática, nos recomendó ella el entrante! 
Para repetir.",,1 contribución,Escrita el 16 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,De mis terrazas favoritas,Eugenia P,"La comida demasiado buena, el provone de entrada y la pasta con salsa de trufa. El ambiente de la terraza buenísima. Y la atencion de parte de la persona que nos atendio, Laura, 10/10, recomendaciones excelentes. He venido multiples veces y siempre excelente siempre.",,2 contribuciones,Escrita el 16 de octubre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,2 contribuciones,Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Comida mediocre,Sara54321,"El sitio es bonito y el servicio amable, pero la comida deja mucho que desear. Pedí unos dim sum que resultaron insípidos. Un arroz incomestible que tuve que devolver. Y un postre pasable.",,66 contribuciones,Escrita el 12 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Leer más,66.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Mala experiencia,Trail04206799417,"No es para estar recomendado por Tripadvisor, me extraña que lo recomienden... muy normal la comida, baño desordenado y sin papel, hacian arreglos mientras almorzábamos. Muy descuidado el restaurante",,6 contribuciones,Escrita el 7 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",6 contribuciones,Leer más,6.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy recomendable,Lucía M,Excelente lugar y muy buen servicio. Laura y Bárbara fueron muy amables y nos atendieron genial. La tarta de caramelo y sal estaba riquísima y el daiquiri de mango muy bueno.,2 contribuciones,Escrita el 13 de noviembre de 2024,nov 2024 • Amigos,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Cumple en azotea Doris Barceló,Laura M,Gran experiencia celebrando un cumpleaños con amigos! Laura y Bárbara fueron muy atentas en todo momento y super agradables. ¡El pastel y las bebidas todas riquísimas!,1 contribución,Escrita el 13 de noviembre de 2024,nov 2024 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Super recomendado:),mauricio c,"Era el cumple de un amigo y la pasamos genial, las camareras barbara y Lau un encanto de personas. Excelente servicio, sin duda repetiremos",2 contribuciones,Escrita el 13 de noviembre de 2024,nov 2024 • Amigos,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/08/8e/17/mauricio-c.jpg?w=100&h=-1&s=1,,,,,,,
