web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,position,image4,image5,image6
1775743255-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Buena comida y trato,Francisco Javie... L,La comida es buena y el trato del personal fue excelente. Seguramente repetiremos y habrá que probar otra hamburguesa 👍.,2 contribuciones,2 contribuciones,2.0,Escrita el 25 de enero de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775743255-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Cuidada estética y buena comida,Rafa E,"El restaurante es un espectacular espacio con 3 ambientes, una decoración vintage y colorida.
 
Nosotros pedimos el menú del día que consta de varias opciones que cambian cada día de la semana.

Me sentí cómodo todo el tiempo, y el staff muy amable (en especial una camarera que era muy simpática y atenta).

Quiero volver.","Madrid, España",13 contribuciones,13.0,Escrita el 19 de enero de 2020,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a3/ac/d1/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775743255-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,No decepciona,sai,"El establecimiento es moderno, estilo los 80s .
Llegamos sin reserva, pensando que no nos atenderian y amablemente nos hicieron un hueco.
Pedimos una chilyburger(hamburguesa picante con buena carne y la salsa mayo estaba muy rica)y una burnaut smoke,( con bacon supercrujiente y una mezcla muy buena de sabores)
El trato del personal fue muy amable y atentos.
Desde luego que es un sitio al que volver!","Nanclares de la Oca, España",52 contribuciones,52.0,Escrita el 12 de enero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775743255-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,Patrocinado por Hiroshima Tourism(HIT),,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,,,,
1775743255-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Americano ideal en el centro,Koplo79,"Ha sido genial. Comida de familia en la que llegamos sin reserva y nos atendieron de 10.
La calidad de la comida ideal, la atención de todo el personal espectacular.
Es un sitio recomendable en el centro.
Mejor hacer reserva o te quedas sin mesa.","Madrid, España",155 contribuciones,155.0,Escrita el 12 de enero de 2020,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/94/8a/b3/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b7/7a/cc/koplo79.jpg?w=100&h=-1&s=1,,,,
1775743255-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Almuerzo,Alana F,"Excelente la comida y la atención, la hamburguesa de buen tamaño y sabor. Después te traen unas golosinas, muy buen gesto. Si bien no es económico vale la pena",6 contribuciones,6 contribuciones,6.0,Escrita el 11 de enero de 2020,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/92/1b/3c/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,
1775743255-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,"Delicioso, la comida estupenda.",Lalo T,"Delicioso, la comida estupenda. Además me enamoré de una de las meseras que era guapísima y súper amable. 

100 recomendado","Ciudad de México, México",1 contribución,1.0,Escrita el 11 de enero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775743255-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy buenas hamburguesas,Héctor M,Muy buenas hamburguesas y muy buenos los chicken tenders. Sitio genial y buen trato. Vinimos sin reserva y nos encontraron un hueco. Muy recomendable.,3 contribuciones,3 contribuciones,3.0,Escrita el 11 de enero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1775743239-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy rica hamburguesa,Cristóbal C,"Ando viajando solo por Europa y estaba con ganas de comer una hamburguesa, y Burnout no decepciono. Recomiendo ir a la hora de almuerzo y pedir el menú, ya que es mucho más económico",3 contribuciones,Escrita el 12 de marzo de 2020,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/25/07/f9/20200311-153540-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,3.0,,,
1775743239-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Hamburguesas Muy Ricas,loryMH,"Hamburguesas muy ricas. Empezamos con  nachos con chile y finger de pollo muy ricos y se notaba que eran bastante caseros !!! 
Hamburguesas muy ricas el punto de la Carne perfecto. Con patatas caseras muy ricas ! Mucha cantidad en los platos. La atención muy buena y muy amable el camarero. 
Recomiendo sin duda !!",120 contribuciones,Escrita el 12 de marzo de 2020,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/19/e7/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f2/b1/b4/caption.jpg?w=100&h=-1&s=1,,120.0,,,
